"name","selected","shared name"
"OGT","false","OGT"
"RELA","false","RELA"
"SMURF2","false","SMURF2"
"ID3","false","ID3"
"AKT1","false","AKT1"
"STAT1","false","STAT1"
"PRKCZ","false","PRKCZ"
"MYC","false","MYC"
"INSR","false","INSR"
"EIF4G1","false","EIF4G1"
"ARPP21","false","ARPP21"
"HMGA1","false","HMGA1"
"JUN","false","JUN"
"E2F1","false","E2F1"
"CDKN2A","false","CDKN2A"
"MBD3","false","MBD3"
"ZBTB7A","false","ZBTB7A"
"BCL3","false","BCL3"
"UPF1","false","UPF1"
"HNRNPD","false","HNRNPD"
"NFKBIA","false","NFKBIA"
"CREBBP","false","CREBBP"
"PTPRE","false","PTPRE"
"CCND1","false","CCND1"
"E2F4","false","E2F4"
"DCLK1","false","DCLK1"
"TUBA8","false","TUBA8"
"NFYA","false","NFYA"
"ZHX1","false","ZHX1"
"MTA1","false","MTA1"
"MYNN","false","MYNN"
"ACTA2","false","ACTA2"
"SATB1","false","SATB1"
"IRF3","false","IRF3"
"SMARCC1","false","SMARCC1"
"SP1","false","SP1"
"TUBA1B","false","TUBA1B"
"CNN3","false","CNN3"
"ACTG2","false","ACTG2"
"TUBA3C","false","TUBA3C"
"ACTC1","false","ACTC1"
